영업자시작일,업종명,업태명,업소명,소재지(도로명),소재지(지번)
2008-01-22,일반음식점,한식,도란도란곱창,서울특별시 동대문구 휘경로2길 5-7 (이문동),서울특별시 동대문구 이문동 305-71 
1989-12-20,일반음식점,한식,청일식당,"서울특별시 동대문구 왕산로43길 50-5 (청량리동,(청량2길 32-14))",서울특별시 동대문구 청량리동 55-32 (청량2길 32-14) 
2020-02-25,일반음식점,중국식,일월성,"서울특별시 동대문구 한천로4길 12, 2층 (장안동)",서울특별시 동대문구 장안동 412-1 
2011-05-20,일반음식점,중국식,신용궁,"서울특별시 동대문구 한천로14길 28 (장안동,(장일중앙길 16))",서울특별시 동대문구 장안동 195-7 (장일중앙길 16) 
2020-03-26,일반음식점,중국식,현대반점,"서울특별시 동대문구 이문로1길 21, 상가동 2층 201호 (회기동, 청량리신현대아파트)",서울특별시 동대문구 회기동 65 청량리신현대아파트 
1999-06-14,일반음식점,경양식,청학동,"서울특별시 동대문구 천호대로25길 81, 용두랜드마크타워 1층 101,102호 (용두동)",서울특별시 동대문구 용두동 100-1 랜드마크타워1 
2003-02-20,일반음식점,경양식,행운돈까스 지기,서울특별시 동대문구 장한로 173 (장안동),서울특별시 동대문구 장안동 304-1 
2003-03-19,일반음식점,한식,또와주오,"서울특별시 동대문구 휘경로14길 15-1, 1층 (휘경동)",서울특별시 동대문구 휘경동 163-9 1층 
2000-03-22,일반음식점,한식,이대감,"서울특별시 동대문구 하정로3길 16 (신설동,(신설2길 1))",서울특별시 동대문구 신설동 98-14 (신설2길 1) 
2011-04-04,일반음식점,분식,보리밥손칼국수,"서울특별시 동대문구 하정로 18 (신설동,(새말길22))",서울특별시 동대문구 신설동 94-55 (새말길22) 
2015-09-14,일반음식점,분식,매콤돈가스 칡불냉면,서울특별시 동대문구 천호대로 10 (신설동),서울특별시 동대문구 신설동 103-3 
1989-02-20,일반음식점,통닭(치킨),쏘스치킨타운신설2점,"서울특별시 동대문구 하정로 42 (신설동,(등기소길10))",서울특별시 동대문구 신설동 92-12 (등기소길10) 
1999-12-09,일반음식점,호프/통닭,모모치킨,"서울특별시 동대문구 왕산로 175, 1층 (제기동)",서울특별시 동대문구 제기동 635-21 
2014-07-09,일반음식점,분식,김밥천국,"서울특별시 동대문구 전농로 152, 1층 (전농동)",서울특별시 동대문구 전농동 60-33 (전농로152) 
2012-03-22,일반음식점,호프/통닭,그린원통술,서울특별시 동대문구 전농로29길 102-2 (전농동),서울특별시 동대문구 전농동 204-196 
1997-11-14,일반음식점,통닭(치킨),멕시칸마베큐치킨,"서울특별시 동대문구 한천로 136 (장안동,(한천로136))",서울특별시 동대문구 장안동 139-29 (한천로136) 
2020-02-26,일반음식점,한식,장안닭한마리,서울특별시 동대문구 천호대로85길 7 (장안동),서울특별시 동대문구 장안동 433-22 
1990-10-19,일반음식점,정종/대포집/소주방,투다리,,서울특별시 동대문구 회기동 76-1 (회기로 174) 
2020-08-05,일반음식점,호프/통닭,신국민닭발,"서울특별시 동대문구 망우로16길 15, 1층 (휘경동)",서울특별시 동대문구 휘경동 276-33 
1993-02-19,일반음식점,호프/통닭,회기호프,"서울특별시 동대문구 회기로 194, 지하1층 (휘경동)",서울특별시 동대문구 휘경동 319-1 
2002-08-30,일반음식점,한식,진미식당,,서울특별시 동대문구 이문동 305-84 
2019-04-15,일반음식점,한식,장수감자탕,"서울특별시 동대문구 장한로2길 41, 1층 (장안동)",서울특별시 동대문구 장안동 459-3 
2010-06-17,일반음식점,한식,하루,"서울특별시 동대문구 왕산로2길 27 (신설동,(신설길15))",서울특별시 동대문구 신설동 97-22 (신설길15) 
2011-06-27,일반음식점,한식,임오네쭈꾸미,,서울특별시 동대문구 용두동 119-4 (용두북길4) 
1990-08-02,일반음식점,한식,풍년식당,"서울특별시 동대문구 답십리로50길 6 (답십리동,(답십리길164-1))",서울특별시 동대문구 답십리동 53-24 (답십리길164-1) 
