식당명,주소,메뉴
푸른하늘,서울 동대문구 경희대로6길 3-4,"['참치김밥', '라볶이', '쫄면', '토종순대', '야채김밥', '김치김밥', '제육김밥', '김치제육김밥', '참치치즈김밥', '돈가스김밥']"
백수씨 심야식당,서울 동대문구 경희대로1길 8-15,"['한우육전', '오징어매운떡볶이(오매떡)', '홍새우회', '생연어', '명란구이 아보카도', '꼴뚜기 숙회', '참문어숙회', '골뱅이 숙회', '골뱅이무침', '모둠물회', '가자미 새꼬시무침', '간장새우', '새우버터구이', '문어족발', '오징어순대']"
골드레벨파스타&필라프,서울 동대문구 회기로21가길 13,"['목살스테이크', '감바스&마늘빵', '핫칠리새우치즈돈까스', '김치전', '황도']"
바이브,서울 동대문구 회기로 125 지하1층 Bar:eve,"['칵테일', '앱솔루트 보드카 세트', '후카', 'Best 안주', '스미노프 보드카 세트', '바카디 럼', '스카이 보드카 세트', '봄베이 사파이어 진', '콰이페', '아그와', '엑스레이티드', '그레이구스']"
복가주점 경희대점,"서울 동대문구 경희대로 3 2,3,4층","['양꼬치', '샤브샤브 小', '샤브샤브 大', '중국식 탕수육']"
순수치킨 회기점,서울 동대문구 회기로 160-2,"['고마치킨', '반반치킨', '만족닭 떡볶이세트', '사과치킨', '호로록떡볶이', '후라이드치킨', '허니꿀떡치킨', '벌꿀간장치킨', '마늘치킨', '고추치킨', '와사마요간장치킨', '통뼈닭발', '무뼈닭발', '바삭이쥐포', '모듬감자']"
치킨앤칩스 경희대점,서울 동대문구 회기로 147,"['크림생맥주', '칵테일비어', '맥주타워']"
싼타나,서울 동대문구 회기로 172,"['카프리, 버드와이저', '카스, 맥스(500ml)']"
시니혀니 비어,서울 동대문구 회기로 161-3,"['생맥주', '쥐포튀김', '감자튀김 ', '치즈스틱+소세지', '감자칩 ', '나초', '황도', '노가리', '문어슬라이스 ', '치즈돈가스', '아귀포와 땅콩', '고르곤졸라피자', '똥집후라이드', '순살치킨', '모듬소세지']"
맥주바켓 경희대점,서울 동대문구 경희대로1길 8-17,[]
자매분식,서울 동대문구 경희대로1가길 15,"['갈치조림', '간고등어조림', '뚝불고기', '김치제육볶음', '제육볶음']"
고황24시뼈다귀해장국감자탕,서울 동대문구 경희대로1길 8-16,"['감자탕 중', '뼈다귀찜 중', '뼈다귀해장국']"
홍춘천치즈닭갈비 회기경희대점,서울 동대문구 회기로13길 10 2층,"['홍춘천닭갈비', '치즈닭갈비', '김치치즈닭갈비', '국물닭갈비', '마라닭갈비', '새우치즈닭갈비', '오징어치즈닭갈비', '문어치즈닭갈비', '해물국물닭갈비', '국물떡볶이', '국물통닭발', '치즈볼', '치즈스틱', '볶음밥', '대왕오징어튀김']"
형고깃집,서울 동대문구 회기로 149-3,"['연탄삼겹살', '연탄오겹살', '연탄항정살', '연탄목살', '연탄양념목갈비', '연탄갈매기살', '연탄양념껍데기', '얼큰순두부찌개', '고추장찌개', '바지락우렁된장찌개', '치즈계란찜', '냉면', '비빔면', '辛뽀그리', '간장계란밥']"
아지트K,서울 동대문구 회기로19길 10,[]
민들레영토경희대점,서울 동대문구 경희대로1길 34,"['치킨커틀렛', '포크커틀렛', '치즈오븐포크커틀렛', '빠네크림파스타', '크림파스타', '해물파스타', '미트파스타', '해물김치필라프', '새우카레필라프', '치킨샐러드', '야채샐러드']"
이찌방이야기 경희대점,서울 동대문구 경희대로1길 6 1층 이찌방이야기,"['나가사키짬뽕탕', '튀김듬뿍떡볶이', '해물볶음우동', '파인샤베트', '코코넛샤베트', '얼큰해물짬뽕탕']"
상냥한눈빛의떡볶이,서울 동대문구 회기로21길 23,['1인당']
호랭이양식당,서울 동대문구 회기로13길 24,"['볼로네제', '청양고추 크림파스타', '알리오올리오', '한돈 필라프', '크림생맥주', '이태리 가지튀김', '호랭이 목살 스테이크']"
경희쌈밥,서울 동대문구 경희대로1가길 27,"['불고기', '고추장불고기', '삼겹살', '쭈꾸미', '훈제오리']"
송가네낙지,서울 동대문구 경희대로1가길 18,[]
주쿤,서울 동대문구 경희대로1길 6,['주쿤해산물모듬떡볶이']
로코모,서울 동대문구 경희대로1길 7,"['할라피뇨 치즈나쵸', '너비아니구이 (4)', '튀김쥐포와 믹스넛', '비엔나 소세지 구이', '감자튀김']"
규범곱창,서울 동대문구 회기로 156,"['데리야끼막창', '소금막창', '양념막창', '불막창', '순대곱창', '야채곱창', '불곱창', '계란찜', '볶음밥', '라면', '주먹밥', '백곱창']"
아메드,서울 동대문구 경희대로1가길 8-1 1층,['말차']
솔낭구갈비,서울 동대문구 회기로13길 11,"['등심 1+', '국내산 돼지갈비', '국내산 삼겹살', '국내산 항정살', '국내산 생목살', '뚝배기불고기', '돼지불백', '차돌된장찌개', '갈비탕', '순두부', '냉면']"
솔잎깨비식당,서울 동대문구 경희대로6길 7-47,[]
봉추찜닭 경희대점,서울 동대문구 회기로19길 17,"['봉추찜닭 소', '누룽지', '봉추찜닭 중', '봉추찜닭 대']"
